"L: 0.1"
"e0: 5"
"t: 5"
"Number of Energies: 400"
"Number of Phases: 400"
"Threshold: 0.01"
"phase","energy"
5.073672135547516,0.7325
5.089380098815465,0.735
5.089380098815465,0.7375
5.105088062083414,0.74
5.120796025351362,0.745
5.136503988619312,0.75
5.15221195188726,0.755
5.16791991515521,0.76
5.183627878423159,0.7625
5.1993358416911075,0.7675
5.215043804959056,0.7725
5.230751768227005,0.7775
5.246459731494954,0.78
5.246459731494954,0.7825
5.262167694762904,0.785
5.277875658030852,0.79
5.293583621298802,0.795
5.3092915845667505,0.7975
5.324999547834699,0.8025
5.340707511102648,0.8075
5.356415474370597,0.81
5.372123437638546,0.815
5.387831400906496,0.82
5.403539364174444,0.8225
5.419247327442394,0.8275
5.4349552907103424,0.83
5.450663253978291,0.835
5.46637121724624,0.84
5.482079180514189,0.8425
5.497787143782138,0.8475
5.513495107050087,0.85
5.529203070318036,0.855
5.544911033585985,0.8575
5.576326960121882,0.865
5.592034923389832,0.8675
5.60774288665778,0.8725
5.62345084992573,0.875
5.654866776461628,0.8825
5.6705747397295765,0.885
5.701990666265474,0.8925
5.717698629533424,0.895
5.749114556069322,0.9025
5.764822519337271,0.905
5.7805304826052195,0.9075
5.796238445873168,0.91
5.827654372409066,0.9175
5.843362335677016,0.92
5.859070298944964,0.9225
5.874778262212914,0.925
5.890486225480862,0.9275
5.9061941887488105,0.93
6.031857894892402,0.95
6.031857894892402,0.9975
6.047565858160352,0.9525
6.0632738214283,0.955
6.07898178469625,0.9575
6.094689747964199,0.96
6.094689747964199,0.995
6.1418136377680455,0.965
6.1418136377680455,0.9925
6.157521601035994,0.9675
6.204645490839842,0.9725
6.220353454107791,0.975
6.2517693806436885,0.9775
